id,gid,kecamatan,kelurahan,geom,nama,id_tps,alamat,thn_bangun,klasifikasi_struktur,klasifikasi_pengangkutan,tahun,status,kel_dilayani,kapasitas,vol_masuk,vol_dikelola,vol_diangkut,waktu_angkut,id_delivery,data_tahun,koordinat,lat,lon,utilisasi
1.0,27.0,Gunung Sari,Gunung Sari,0101000020ED7F0000E745586488022541B940397153886141,TPS Gunungsari Yani Golf,188,Jl. Golf V,,TPS,armroll,,aktif,Kel. Gunung Sari,14.0,14.0,14.0,14.0,<1 hari,,2021,"-7.30577431826175,112.707095366803",-7.30577431826175,112.707095366803,100.0
,,Sukolilo,Keputih,0101000020ED7F0000E03F5754285925414441BACAE4886141,IPLT Keputih,117,Jl.Keputih Tegal,,,armroll,,aktif,Kel.Keputih,14.0,14.0,14.0,12.0,<1 hari,,2021," -7.29486998046742, 112.807460448637",-7.29486998046742,112.807460448637,100.0
3.0,75.0,Karah,Karah,0101000020ED7F0000C20940A094082541A721AB26F3876141,TPS Bibis Karah,175,Jl. Karah,,TPS,armroll,,aktif,"Kel. Karah, Kel. Jambangan",14.0,14.0,14.0,14.0,<1 hari,,2021,"-7.31271288104216,112.71413213501",-7.31271288104216,112.71413213501,100.0
,,Dukuh Pakis,Dukuh Pakis,0101000020ED7F00002083DD63CF022541A1D5ABF993886141,TPS Bukit Mas,154,Jl.Puncak Bukit Mas-Dukuh pakis,,TPS,armroll,,aktif,Kel.Dukuh Pakis,8.0,8.0,8.0,8.0,<1 hari,,2021," -7.30110514432641, 112.70739912183",-7.30110514432641,112.70739912183,100.0
5.0,113.0,Karangpilang,Karangpilang,0101000020ED7F00009702868CD9F624413CBFE5707F866141,Karang Pilang Marinir (Ps. Hewan),186,Jl. Bumi Marinir,,,armroll,,aktif,,14.0,14.0,14.0,14.0,>1 hari,,2021," -7.33967817789591, 112.693680915167",-7.33967817789591,112.693680915167,100.0
6.0,151.0,WONOKROMO,SWUNGGALING,0101000020ED7F0000D801936AAC14254103C14D42EF886141,TPS WONOBOYO,153,JL. WONOBOYO BATANGHARI,,TPS,armroll,,aktif,SAWUNGGALING,14.0,14.0,14.0,14.0,<1 hari,,2021,"-7.29442346669381,112.728079570726",-7.29442346669381,112.728079570726,100.0
,,Jajar Tunggal,Jajar Tunggal,0101000020ED7F0000B64800DF6E042541D2FD5B7017886141,TPS Gogor/Jajar Tunggal,183,Jl.Mastrip,,TPS,armroll,,aktif,Kel.Jajar Tunggal,14.0,14.0,14.0,14.0,<1 hari,,2021," -7.31010628212799, 112.709314586969",-7.31010628212799,112.709314586969,100.0
8.0,4.0,Bubutan,Tembok Dukuh,0101000020ED7F00006B6DA5494C0E254139982F50228B6141,TPS Kalibutuh,1,Jl. Raya Demak,,TPS,compactor,,aktif,"Tembok Dukuh, Petemon, Gundih",52.8,52.8,52.8,52.8,?1 hari,,2021," -7.25372369719324, 112.720534601098",-7.25372369719324,112.720534601098,100.0
9.0,5.0,Bubutan,Bubutan,0101000020ED7F000097F0D775381925412F1FC4E3328B6141,TPS Pirngadi,2,Jl. Pirngadi,,TPS,armroll,,aktif,"Bubutan, Tembok Dukuh",28.0,28.0,28.0,28.0,?1 hari,,2021," -7.25247653968601, 112.733189162813",-7.25247653968601,112.733189162813,100.0
10.0,6.0,Bubutan,Bubutan,0101000020ED7F00003190DC9C2519254155E041796E8B6141,TPS Penghela,3,Jl. Penghela,,TPS,compactor,,aktif,"Bubutan, Tembok Dukuh",33.0,33.0,30.0,33.0,?1 hari,,2021," -7.24816694272111, 112.733087352969",-7.24816694272111,112.733087352969,100.0
