no,name,address,kecamatan,kelurahan,tps_type,unit_count,capacity_m3,capacity_kg,status
1,TEMBOK DK,Jl. Demak Kalibutuh,Bubutan,"Kel.Tembok Dukuh, Kel. Tembok Dukuh, Kel. Petemon, Kel Gundih",COMPACTOR,50,28.0,7000.0,AKTIF
2,PRINGADI,Jl. Pringadi,Bubutan,"Kel. Bubutan, Kel. Bubutan, Kel. Tembok Dukuh",TPS_BIASA,1,14.0,3500.0,AKTIF
3,PENGHELA,Jl. Penghela,Bubutan,"Kel. Bubutan, Kel. Tembok Dukuh",TPS_BIASA,2,28.0,7000.0,AKTIF
4,SULUNG,Jl. Sulung Kali,Bubutan,"Kel. Alon-alon Contong, Kel. Alun - Alun Contong",TPS_BIASA,1,14.0,3500.0,AKTIF
5,DUPAK PRAU,Jl. Babatan Dupak,Bubutan,"Kel. Jepara, Kel. Jepara, Kel. Babatan",TPS_BIASA,1,14.0,3500.0,AKTIF
6,PS. SIMOLAWANG,Jl. Simolawang,Simokerto,"Kel. Simolawang, Kel. Simokerto, Kel. Sidotopo, Kel. Sidodadi",TPS_BIASA,1,14.0,3500.0,AKTIF
7,PS. KAPASAN,JL. Pasar Kapasan,Simokerto,"Kel. Sidodadi, Psr. Kapasan",TPS_BIASA,1,14.0,3500.0,AKTIF
8,TAMBAK REJO,Jl. Tambak Rejo,Simokerto,"Kel. Tambak Rejo, Kel Tambak Rejo, Kel. Rangkah, Kel. Kapasari, Kel. Simokerto",TPS_BIASA,3,42.0,10500.0,AKTIF
9,Pecindilan,Jl. Pecindilan,Simokerto,"Kel. Kapasan, Kel. Kapasari",COMPACTOR,1,14.0,3500.0,NONAKTIF
10,SIMPANG DUKUH,Jl. Simpah Dukuh,Genteng,"Kel. Genteng, Kel. Simpang, Kel. Ketabang, Kel. Genteng",COMPACTOR,30,42.0,10500.0,AKTIF
11,PS. GENTENG,JL. Genteng Besar,Genteng,Psr. Genteng,TPS_BIASA,12,14.0,3500.0,AKTIF
12,KAYON,Jl. Kayon,Genteng,"Kel.Gubeng, Kel. Embong Kaliasin",COMPACTOR,50,28.0,7000.0,AKTIF
13,LEGUNDI ANGGREK,Jl. Anggrek,Genteng,"Kel. Ketabang, Kel. Pacar Keling, Kel. Ketabang, Kel. Pacar Kembang",TPS_BIASA,2,36.0,9000.0,AKTIF
14,MAKAM PENELEH,Jl. Makam Peneleh,Genteng,"Kel. Peneleh, Kel. Peneleh, Kel. Alun - Alun Contong",TPS_BIASA,20,16.0,4000.0,AKTIF
15,KEDONDONG,Jl. Kedondong,Tegalsari,"Kel. Tegalsari, Kel. Tegalsari, Kel. Embong Kaliasin, Kel. Wonorejo",TPS_BIASA,2,28.0,7000.0,AKTIF
16,KEDUNG ANYAR,Jl. Kedung Anyar,Tegalsari,"Kel. Kedungdoro, Kel. Kedungdoro, Kel. Tegalsari, Kel. Wonorejo",TPS_BIASA,2,28.0,7000.0,AKTIF
17,PS. KEMBANG,Jl. Wonorejo III Pasar,Tegalsari,"Kel. Wonorejo, Kel. Wonorejo, Kel. Tegalsari",TPS_BIASA,1,14.0,3500.0,AKTIF
18,PANDEGILING,Jl. Pandegiling,Tegalsari,"Kel. Wonorejo, Kel. Tegalsari, Kel. Keputran",COMPACTOR,30,14.0,3500.0,NONAKTIF
19,DINOYO,Jl. Dinoyo,Tegalsari,"Kel. Keputran, Kel. Darmo, Kel. Ngagel",TPS_BIASA,3,42.0,10500.0,AKTIF
20,TAMAN KETAMPON,Jl. Taman Ketampon,Tegalsari,"Kel. Dr. Soetomo, Kel. Dr. Soetomo, Kel. Darmo",COMPACTOR,20,14.0,3500.0,AKTIF
21,PS. KEPUTRAN SELATAN,Jl. Keputeran selatan,Tegalsari,"Kel. Keputran, Pasar Keputran Selatan",TPS_BIASA,1,14.0,3500.0,NONAKTIF
22,THR,Jl. Kusuma Bangsa,Tegalsari,,TPS_BIASA,1,14.0,3500.0,NONAKTIF
23,TUBANAN,Jl. Simpang Darmo Perm,Tandes,"Kel. Tubanan, Kel. Tubanan, Kel. Gadel",TPS_BIASA,1,14.0,3500.0,AKTIF
24,Depo Karang Poh,Jl. Darmo Indah Barat,Tandes,"Kel. Karangpoh, Kel. Tandes Lor, Kel. Karang Poh",TPS_BIASA,2,16.0,4000.0,AKTIF
25,Depo Balongsari,Jl. Balongsari Taman,Tandes,"Kel. Balongsari, Kel. Karang Poh, Kel Balongsari",TPS_BIASA,1,14.0,3500.0,AKTIF
26,Depo Manukan Wetan,Jl. Sikatan / Pasar,Tandes,"Kel. Manukan Wetan, Kel. Manukan Wetan, Kel. Bibis",TPS_BIASA,1,14.0,3500.0,AKTIF
27,Manukan Kulon,Jl. Manukan Kulon,Tandes,"Kel. Manukan Kulon, Kel. Manukan Kulon, Kel. Manukan Wetan, Kel. Banjarsugihan",TPS_BIASA,2,28.0,7000.0,AKTIF
28,Manukan Telaga,Jl. Manukan Telaga,Tandes,"Kel. Manukan Kulon, Kel. Manukan Wetan",TPS_BIASA,1,8.0,2000.0,AKTIF
29,TENGGER KANDANGAN,Jl. Raya Tengger,Benowo,Kel. Kandangan,TPS_BIASA,1,14.0,3500.0,AKTIF
30,KANDANGAN,Jl. Kandangan (RM. Pandan Sari),Benowo,Kel. Kandangan,TPS_BIASA,1,14.0,3500.0,AKTIF
